x,y,z
0.0,69.28,-40.0
0.0,69.28,-39.73555555555556
0.0,69.28,-39.39555555555556
0.0,69.28,-38.99333333333334
0.0,69.28,-38.54222222222223
0.0,69.28,-38.05555555555556
0.0,69.28,-37.54666666666666
0.0,69.28,-37.028888888888886
0.0,69.28,-36.51555555555555
0.0,69.28,-36.019999999999996
0.0,69.28,-35.55555555555556
0.0,69.28,-35.111111111111114
0.0,69.28,-34.66666666666667
0.0,69.28,-34.22222222222222
0.0,69.28,-33.77777777777778
0.0,69.28,-33.33333333333333
0.0,69.28,-32.888888888888886
0.0,69.28,-32.444444444444436
0.0,69.28,-31.999999999999993
0.0,69.28,-31.55555555555555
0.0,69.28,-31.11111111111111
0.0,69.28,-30.666666666666668
0.0,69.28,-30.22222222222222
0.0,69.28,-29.77777777777778
0.0,69.28,-29.333333333333336
0.0,69.28,-28.888888888888893
0.0,69.28,-28.44444444444445
0.0,69.28,-28.000000000000004
0.0,69.28,-27.555555555555564
0.0,69.28,-27.111111111111118
0.0,69.28,-26.66666666666667
0.0,69.28,-26.22222222222223
0.0,69.28,-25.777777777777782
0.0,69.28,-25.333333333333336
0.0,69.28,-24.88888888888889
0.0,69.28,-24.444444444444443
0.0,69.28,-23.999999999999996
0.0,69.28,-23.555555555555554
0.0,69.28,-23.111111111111107
0.0,69.28,-22.666666666666657
0.0,69.28,-22.22222222222222
0.0,69.28,-21.77777777777778
0.0,69.28,-21.333333333333332
0.0,69.28,-20.888888888888886
0.0,69.28,-20.444444444444446
0.0,69.28,-20.000000000000004
0.0,69.28,-19.555555555555557
0.0,69.28,-19.111111111111114
0.0,69.28,-18.666666666666675
0.0,69.28,-18.222222222222232
0.0,69.28,-17.77777777777778
0.0,69.28,-17.333333333333336
0.0,69.28,-16.88888888888889
0.0,69.28,-16.444444444444446
0.0,69.28,-16.0
0.0,69.28,-15.555555555555557
0.0,69.28,-15.111111111111112
0.0,69.28,-14.666666666666668
0.0,69.28,-14.222222222222225
0.0,69.28,-13.77777777777778
0.0,69.28,-13.333333333333336
0.0,69.28,-12.888888888888891
0.0,69.28,-12.444444444444446
0.0,69.28,-12.000000000000004
0.0,69.28,-11.555555555555559
0.0,69.28,-11.111111111111114
0.0,69.28,-10.66666666666667
0.0,69.28,-10.222222222222225
0.0,69.28,-9.777777777777782
0.0,69.28,-9.333333333333337
0.0,69.28,-8.888888888888893
0.0,69.28,-8.444444444444448
0.0,69.28,-8.000000000000004
0.0,69.28,-7.55555555555556
0.0,69.28,-7.111111111111114
0.0,69.28,-6.66666666666667
0.0,69.28,-6.222222222222226
0.0,69.28,-5.777777777777781
0.0,69.28,-5.333333333333336
0.0,69.28,-4.888888888888891
0.0,69.28,-4.444444444444446
0.0,69.28,-3.9800000000000018
0.0,69.28,-3.484444444444446
0.0,69.28,-2.9711111111111124
0.0,69.28,-2.4533333333333345
0.0,69.28,-1.9444444444444453
0.0,69.28,-1.4577777777777783
0.0,69.28,-1.006666666666667
0.0,69.28,-0.6044444444444446
0.0,69.28,-0.2644444444444447
0.0,69.28,0.0
-0.0034615384615384625,69.26201384615385,0.15230769230769237
-0.012307692307692311,69.21604923076923,0.18598290598290604
-0.024230769230769233,69.15409692307692,0.13282051282051296
-0.03692307692307693,69.0881476923077,0.02461538461538454
-0.04807692307692308,69.03019230769232,-0.10683760683760668
-0.05538461538461539,68.99222153846155,-0.22974358974358977
-0.056538461538461565,68.98622615384616,-0.31230769230769195
-0.049230769230769245,69.02419692307691,-0.3227350427350433
-0.031153846153846143,69.11812461538462,-0.22923076923076868
0.0,69.28,0.0
0.04576923076923077,69.51781692307692,0.36615384615384616
0.10461538461538464,69.82358153846154,0.8369230769230771
0.17423076923076924,70.18530307692308,1.393846153846154
0.25230769230769234,70.59099076923076,2.0184615384615388
0.3365384615384616,71.02865384615384,2.692307692307693
0.42461538461538473,71.48630153846155,3.396923076923078
0.5142307692307694,71.95194307692307,4.113846153846155
0.6030769230769233,72.4135876923077,4.824615384615386
0.6888461538461541,72.85924461538461,5.510769230769233
0.7692307692307693,73.27692307692308,6.153846153846154
0.8461538461538463,73.67661538461539,6.76923076923077
0.9230769230769231,74.0763076923077,7.384615384615385
1.0,74.476,8.0
1.076923076923077,74.87569230769232,8.615384615384617
1.153846153846154,75.27538461538462,9.230769230769232
1.2307692307692308,75.67507692307692,9.846153846153847
1.3076923076923077,76.07476923076923,10.461538461538462
1.3846153846153846,76.47446153846154,11.076923076923077
1.4615384615384617,76.87415384615385,11.692307692307693
1.5384615384615385,77.27384615384615,12.307692307692308
1.6153846153846154,77.67353846153846,12.923076923076923
1.6923076923076925,78.07323076923076,13.53846153846154
1.7692307692307694,78.47292307692307,14.153846153846155
1.846153846153846,78.87261538461539,14.769230769230768
1.9230769230769231,79.27230769230769,15.384615384615385
1.9999999999999996,79.67199999999998,15.999999999999996
2.0769230769230766,80.07169230769229,16.615384615384613
2.1538461538461537,80.4713846153846,17.23076923076923
2.23076923076923,80.87107692307688,17.84615384615384
2.307692307692308,81.27076923076923,18.461538461538463
2.384615384615385,81.67046153846154,19.07692307692308
2.4615384615384617,82.07015384615384,19.692307692307693
2.5384615384615388,82.46984615384616,20.30769230769231
2.615384615384616,82.86953846153847,20.923076923076927
2.6923076923076925,83.26923076923079,21.53846153846154
2.76923076923077,83.6689230769231,22.15384615384616
2.8461538461538467,84.0686153846154,22.769230769230774
2.923076923076924,84.46830769230773,23.38461538461539
3.0000000000000013,84.86800000000004,24.00000000000001
3.076923076923077,85.26769230769231,24.615384615384617
3.153846153846154,85.66738461538462,25.230769230769234
3.230769230769231,86.06707692307693,25.846153846153847
3.307692307692308,86.46676923076923,26.461538461538463
3.384615384615385,86.86646153846155,27.07692307692308
3.4615384615384612,87.26615384615386,27.69230769230769
3.538461538461538,87.66584615384615,28.307692307692303
3.615384615384615,88.06553846153847,28.92307692307692
3.6923076923076916,88.46523076923077,29.538461538461533
3.7692307692307683,88.86492307692308,30.153846153846146
3.8461538461538463,89.26461538461538,30.76923076923077
3.9230769230769234,89.66430769230769,31.384615384615387
4.0,90.064,32.0
4.076923076923077,90.4636923076923,32.61538461538461
4.153846153846154,90.86338461538462,33.23076923076923
4.230769230769231,91.26307692307691,33.84615384615385
4.3076923076923075,91.66276923076921,34.46153846153846
4.384615384615385,92.06246153846152,35.07692307692308
4.461538461538462,92.46215384615383,35.69230769230769
4.538461538461538,92.86184615384612,36.30769230769231
4.615384615384616,93.26153846153846,36.92307692307693
4.6923076923076925,93.66123076923077,37.53846153846154
4.76923076923077,94.06092307692307,38.15384615384616
4.846153846153847,94.4606153846154,38.769230769230774
4.923076923076923,94.8603076923077,39.38461538461539
5.000000000000001,95.25999999999999,40.00000000000001
5.0769230769230775,95.6596923076923,40.61538461538462
5.153846153846154,96.0593846153846,41.23076923076923
5.230769230769232,96.45907692307692,41.846153846153854
5.307692307692308,96.85876923076921,42.46153846153847
5.384615384615385,97.25846153846155,43.07692307692308
5.461538461538462,97.65815384615385,43.69230769230769
5.538461538461539,98.05784615384616,44.307692307692314
5.615384615384616,98.45753846153848,44.92307692307693
5.6923076923076925,98.85723076923078,45.53846153846154
5.76923076923077,99.2569230769231,46.15384615384616
5.846153846153847,99.6566153846154,46.769230769230774
5.923076923076923,100.05630769230771,47.38461538461539
6.000000000000002,100.45600000000005,48.000000000000014
6.076923076923079,100.85569230769235,48.615384615384635
6.153846153846154,101.25538461538463,49.23076923076923
