x,y,z
180.0,138.56,-40.0
180.0,138.56,-39.73555555555556
180.0,138.56,-39.39555555555556
180.0,138.56,-38.99333333333334
180.0,138.56,-38.54222222222223
180.0,138.56,-38.05555555555556
180.0,138.56,-37.54666666666666
180.0,138.56,-37.028888888888886
180.0,138.56,-36.51555555555555
180.0,138.56,-36.019999999999996
180.0,138.56,-35.55555555555556
180.0,138.56,-35.111111111111114
180.0,138.56,-34.66666666666667
180.0,138.56,-34.22222222222222
180.0,138.56,-33.77777777777778
180.0,138.56,-33.33333333333333
180.0,138.56,-32.888888888888886
180.0,138.56,-32.444444444444436
180.0,138.56,-31.999999999999993
180.0,138.56,-31.55555555555555
180.0,138.56,-31.11111111111111
180.0,138.56,-30.666666666666668
180.0,138.56,-30.22222222222222
180.0,138.56,-29.77777777777778
180.0,138.56,-29.333333333333336
180.0,138.56,-28.888888888888893
180.0,138.56,-28.44444444444445
180.0,138.56,-28.000000000000004
180.0,138.56,-27.555555555555564
180.0,138.56,-27.111111111111118
180.0,138.56,-26.66666666666667
180.0,138.56,-26.22222222222223
180.0,138.56,-25.777777777777782
180.0,138.56,-25.333333333333336
180.0,138.56,-24.88888888888889
180.0,138.56,-24.444444444444443
180.0,138.56,-23.999999999999996
180.0,138.56,-23.555555555555554
180.0,138.56,-23.111111111111107
180.0,138.56,-22.666666666666657
180.0,138.56,-22.22222222222222
180.0,138.56,-21.77777777777778
180.0,138.56,-21.333333333333332
180.0,138.56,-20.888888888888886
180.0,138.56,-20.444444444444446
180.0,138.56,-20.000000000000004
180.0,138.56,-19.555555555555557
180.0,138.56,-19.111111111111114
180.0,138.56,-18.666666666666675
180.0,138.56,-18.222222222222232
180.0,138.56,-17.77777777777778
180.0,138.56,-17.333333333333336
180.0,138.56,-16.88888888888889
180.0,138.56,-16.444444444444446
180.0,138.56,-16.0
180.0,138.56,-15.555555555555557
180.0,138.56,-15.111111111111112
180.0,138.56,-14.666666666666668
180.0,138.56,-14.222222222222225
180.0,138.56,-13.77777777777778
180.0,138.56,-13.333333333333336
180.0,138.56,-12.888888888888891
180.0,138.56,-12.444444444444446
180.0,138.56,-12.000000000000004
180.0,138.56,-11.555555555555559
180.0,138.56,-11.111111111111114
180.0,138.56,-10.66666666666667
180.0,138.56,-10.222222222222225
180.0,138.56,-9.777777777777782
180.0,138.56,-9.333333333333337
180.0,138.56,-8.888888888888893
180.0,138.56,-8.444444444444448
180.0,138.56,-8.000000000000004
180.0,138.56,-7.55555555555556
180.0,138.56,-7.111111111111114
180.0,138.56,-6.66666666666667
180.0,138.56,-6.222222222222226
180.0,138.56,-5.777777777777781
180.0,138.56,-5.333333333333336
180.0,138.56,-4.888888888888891
180.0,138.56,-4.444444444444446
179.98875,138.540515,-4.018970000000002
179.95999999999998,138.49072,-3.623004444444446
179.92125,138.423605,-3.2439011111111125
179.88000000000002,138.35216000000003,-2.8690133333333345
179.84375,138.289375,-2.4856944444444453
179.82000000000002,138.24823999999998,-2.081297777777779
179.81625,138.241745,-1.6431766666666667
179.83999999999997,138.28288,-1.1586844444444446
179.89875,138.384635,-0.6151744444444442
180.0,138.56,0.0
180.1375,138.79815,0.7342400000000001
180.3,139.0796,1.6007644444444447
180.4875,139.40435,2.5609466666666667
180.7,139.77239999999998,3.5761600000000007
180.9375,140.18374999999997,4.607777777777778
181.2,140.6384,5.617173333333333
181.4875,141.13635,6.565720000000001
181.8,141.67759999999998,7.414791111111111
182.1375,142.26214999999996,8.12576
182.5,142.89,8.66
182.91,143.60011999999998,9.0497
183.38,144.41416,9.3528
183.895,145.30614,9.5693
184.44,146.25008000000003,9.6992
185.0,147.22000000000003,9.7425
185.56,148.18992,9.6992
186.10500000000002,149.13386,9.569299999999998
186.62,150.02584,9.352799999999998
187.09,150.83988000000002,9.049699999999998
187.5,151.55,8.66
187.8625,152.17785,8.125760000000001
188.2,152.7624,7.4147911111111116
188.5125,153.30365,6.565720000000001
188.8,153.8016,5.617173333333333
189.0625,154.25625,4.607777777777778
189.3,154.6676,3.5761600000000007
189.5125,155.03565,2.5609466666666676
189.7,155.3604,1.6007644444444438
189.8625,155.64185,0.7342399999999998
190.0,155.88,0.0
190.10125,156.055365,-0.6151744444444447
190.16,156.15712,-1.1586844444444446
190.18375,156.198255,-1.643176666666667
190.18,156.19175999999996,-2.0812977777777784
190.15625,156.150625,-2.4856944444444453
190.12,156.08784,-2.869013333333334
190.07875,156.016395,-3.2439011111111125
190.04,155.94928,-3.6230044444444465
190.01125,155.89948499999997,-4.018970000000002
190.0,155.88,-4.444444444444446
190.0,155.88,-4.888888888888891
190.0,155.88,-5.333333333333336
190.0,155.88,-5.77777777777778
190.0,155.88,-6.222222222222225
190.0,155.88,-6.66666666666667
190.0,155.88,-7.111111111111115
190.0,155.88,-7.555555555555559
190.0,155.88,-8.000000000000004
190.0,155.88,-8.444444444444448
190.0,155.88,-8.888888888888893
190.0,155.88,-9.333333333333337
190.0,155.88,-9.777777777777782
190.0,155.88,-10.222222222222227
190.0,155.88,-10.66666666666667
190.0,155.88,-11.111111111111112
190.0,155.88,-11.555555555555557
190.0,155.88,-12.0
190.0,155.88,-12.444444444444443
190.0,155.88,-12.888888888888888
190.0,155.88,-13.333333333333336
190.0,155.88,-13.77777777777778
190.0,155.88,-14.222222222222225
190.0,155.88,-14.666666666666668
190.0,155.88,-15.111111111111112
190.0,155.88,-15.555555555555557
190.0,155.88,-16.0
190.0,155.88,-16.444444444444446
190.0,155.88,-16.88888888888889
190.0,155.88,-17.333333333333336
190.0,155.88,-17.77777777777778
190.0,155.88,-18.22222222222222
190.0,155.88,-18.666666666666668
190.0,155.88,-19.11111111111111
190.0,155.88,-19.555555555555557
190.0,155.88,-19.999999999999996
190.0,155.88,-20.44444444444444
190.0,155.88,-20.888888888888886
190.0,155.88,-21.33333333333333
190.0,155.88,-21.777777777777775
190.0,155.88,-22.22222222222222
190.0,155.88,-22.666666666666664
190.0,155.88,-23.11111111111111
190.0,155.88,-23.55555555555556
190.0,155.88,-24.000000000000004
190.0,155.88,-24.44444444444445
190.0,155.88,-24.888888888888896
190.0,155.88,-25.333333333333346
190.0,155.88,-25.77777777777779
190.0,155.88,-26.222222222222232
190.0,155.88,-26.66666666666667
190.0,155.88,-27.111111111111114
190.0,155.88,-27.55555555555556
190.0,155.88,-28.000000000000004
190.0,155.88,-28.444444444444446
190.0,155.88,-28.88888888888889
190.0,155.88,-29.333333333333336
190.0,155.88,-29.77777777777778
190.0,155.88,-30.22222222222222
190.0,155.88,-30.666666666666664
190.0,155.88,-31.11111111111111
190.0,155.88,-31.555555555555554
190.0,155.88,-32.0
190.0,155.88,-32.44444444444444
190.0,155.88,-32.888888888888886
190.0,155.88,-33.33333333333333
190.0,155.88,-33.777777777777786
190.0,155.88,-34.22222222222222
190.0,155.88,-34.666666666666664
190.0,155.88,-35.11111111111111
190.0,155.88,-35.55555555555556
190.0,155.88,-36.02
190.0,155.88,-36.51555555555555
190.0,155.88,-37.02888888888889
190.0,155.88,-37.54666666666667
190.0,155.88,-38.05555555555556
190.0,155.88,-38.54222222222222
190.0,155.88,-38.99333333333334
190.0,155.88,-39.39555555555556
190.0,155.88,-39.73555555555556
