x,y,z
60.0,0.0,-40.0
60.0,0.0,-39.73555555555556
60.0,0.0,-39.39555555555556
60.0,0.0,-38.99333333333334
59.99999999999999,0.0,-38.54222222222223
59.99999999999999,0.0,-38.05555555555556
59.99999999999999,0.0,-37.54666666666666
59.99999999999999,0.0,-37.028888888888886
59.999999999999986,0.0,-36.51555555555555
59.999999999999986,0.0,-36.019999999999996
59.99999999999999,0.0,-35.55555555555556
59.99999999999999,0.0,-35.111111111111114
59.99999999999999,0.0,-34.66666666666667
59.99999999999999,0.0,-34.22222222222222
59.99999999999999,0.0,-33.77777777777778
60.0,0.0,-33.33333333333333
60.0,0.0,-32.888888888888886
60.0,0.0,-32.444444444444436
60.0,0.0,-31.999999999999993
60.0,0.0,-31.55555555555555
60.0,0.0,-31.11111111111111
60.0,0.0,-30.666666666666668
60.0,0.0,-30.22222222222222
60.0,0.0,-29.77777777777778
60.00000000000001,0.0,-29.333333333333336
60.00000000000001,0.0,-28.888888888888893
60.000000000000014,0.0,-28.44444444444445
60.000000000000014,0.0,-28.000000000000004
60.00000000000002,0.0,-27.555555555555564
60.00000000000002,0.0,-27.111111111111118
60.00000000000001,0.0,-26.66666666666667
60.00000000000001,0.0,-26.22222222222223
60.00000000000001,0.0,-25.777777777777782
60.00000000000001,0.0,-25.333333333333336
60.0,0.0,-24.88888888888889
60.0,0.0,-24.444444444444443
60.0,0.0,-23.999999999999996
60.0,0.0,-23.555555555555554
60.0,0.0,-23.111111111111107
59.99999999999999,0.0,-22.666666666666657
60.0,0.0,-22.22222222222222
60.0,0.0,-21.77777777777778
60.0,0.0,-21.333333333333332
60.0,0.0,-20.888888888888886
60.0,0.0,-20.444444444444446
60.0,0.0,-20.000000000000004
60.0,0.0,-19.555555555555557
60.0,0.0,-19.111111111111114
60.0,0.0,-18.666666666666675
60.0,0.0,-18.222222222222232
60.0,0.0,-17.77777777777778
60.0,0.0,-17.333333333333336
60.0,0.0,-16.88888888888889
60.0,0.0,-16.444444444444446
60.0,0.0,-16.0
60.0,0.0,-15.555555555555557
60.0,0.0,-15.111111111111112
60.0,0.0,-14.666666666666668
60.0,0.0,-14.222222222222225
60.0,0.0,-13.77777777777778
60.0,0.0,-13.333333333333336
60.0,0.0,-12.888888888888891
60.0,0.0,-12.444444444444446
60.0,0.0,-12.000000000000004
60.0,0.0,-11.555555555555559
60.0,0.0,-11.111111111111114
60.0,0.0,-10.66666666666667
60.0,0.0,-10.222222222222225
60.0,0.0,-9.777777777777782
60.0,0.0,-9.333333333333337
60.0,0.0,-8.888888888888893
60.0,0.0,-8.444444444444448
60.0,0.0,-8.000000000000004
60.0,0.0,-7.55555555555556
60.0,0.0,-7.111111111111114
60.0,0.0,-6.66666666666667
60.0,0.0,-6.222222222222226
60.0,0.0,-5.777777777777781
60.0,0.0,-5.333333333333336
60.0,0.0,-4.888888888888891
60.0,0.0,-4.444444444444446
60.0,0.0,-3.9800000000000018
60.0,0.0,-3.484444444444446
60.0,0.0,-2.9711111111111124
60.0,0.0,-2.4533333333333345
60.0,0.0,-1.9444444444444453
60.0,0.0,-1.4577777777777783
60.0,0.0,-1.006666666666667
60.0,0.0,-0.6044444444444446
60.0,0.0,-0.2644444444444447
60.0,0.0,0.0
60.01216705375535,-0.000775908755287248,0.1559093219581115
60.043260635574576,-0.0027587866854657706,0.1987887002955075
60.08516937628744,-0.0054313612870107355,0.15803192037344702
60.129781906723714,-0.00827636005639731,0.06303276755318887
60.16898685771317,-0.010776510490100664,-0.05681497280400749
60.194672860085575,-0.012414540084595967,-0.17211751533688324
60.198728544670686,-0.012673176336358383,-0.2534810746841796
60.17304254229828,-0.01103514674186308,-0.2715118654846371
60.109503483798136,-0.006983178797585227,-0.19681610237699632
60.0,0.0,0.0
59.83912451145706,0.010259237986575832,0.3185322985538598
59.632284597616135,0.023449686826459048,0.7280738252659653
59.38759162764747,0.03905407401612481,1.2125641281083905
59.11315697072128,0.056555127052048286,1.7559427550532105
58.8170919960078,0.07543557343070464,2.3421492540724986
58.50750807267727,0.09517814064856907,2.9551231731383294
58.192516569899915,0.11526555620211669,3.5788040602227773
57.880228856845974,0.13518054758782275,4.197131463297918
57.57875630268567,0.1544058423021623,4.794044930335823
57.29621027658925,0.17242416784161063,5.353484009308567
57.02282502477175,0.189858298956414,5.894784821762104
56.74476333821316,0.20759065236332772,6.445344941028702
56.464029403231066,0.22549341850859017,7.001196092759903
56.18262740614312,0.2434387878384398,7.558370002607256
55.902561533266905,0.261298950799115,8.112898396222308
55.62583597092005,0.27894609783685437,8.660812999256601
55.35445490542018,0.29625241939789626,9.198145537361684
55.09042252308487,0.3130901059284791,9.720927736189106
54.83574301023178,0.3293313478748412,10.225191321390408
54.5924205531785,0.34484833568322126,10.706968018617136
54.35263050185785,0.36014005740908966,11.1817505781562
54.10994741301424,0.3756162718797569,11.662261330972791
53.86847428318268,0.39101532569922126,12.140376373735897
53.63231410889816,0.406075565471481,12.607971803114493
53.4055698866957,0.42053533780053426,13.056923715777563
53.19234461311028,0.43413298929037963,13.479108208394095
52.99674128467692,0.44660686654501514,13.866401377633062
52.822862897930634,0.4576953161684391,14.21067932016345
52.674812449406396,0.46713668476465,14.503818132654242
