x,y,z
70.0,155.88,-40.0
70.0,155.88,-39.73555555555556
70.0,155.88,-39.39555555555556
70.0,155.88,-38.99333333333334
70.0,155.88,-38.54222222222223
70.0,155.88,-38.05555555555556
70.0,155.88,-37.54666666666666
70.0,155.88,-37.028888888888886
70.0,155.88,-36.51555555555555
70.0,155.88,-36.019999999999996
70.0,155.88,-35.55555555555556
70.0,155.88,-35.111111111111114
70.0,155.88,-34.66666666666667
70.0,155.88,-34.22222222222222
70.0,155.88,-33.77777777777778
70.0,155.88,-33.33333333333333
70.0,155.88,-32.888888888888886
70.0,155.88,-32.444444444444436
70.0,155.88,-31.999999999999993
70.0,155.88,-31.55555555555555
70.0,155.88,-31.11111111111111
70.0,155.88,-30.666666666666668
70.0,155.88,-30.22222222222222
70.0,155.88,-29.77777777777778
70.0,155.88,-29.333333333333336
70.0,155.88,-28.888888888888893
70.0,155.88,-28.44444444444445
70.0,155.88,-28.000000000000004
70.0,155.88,-27.555555555555564
70.0,155.88,-27.111111111111118
70.0,155.88,-26.66666666666667
70.0,155.88,-26.22222222222223
70.0,155.88,-25.777777777777782
70.0,155.88,-25.333333333333336
70.0,155.88,-24.88888888888889
70.0,155.88,-24.444444444444443
70.0,155.88,-23.999999999999996
70.0,155.88,-23.555555555555554
70.0,155.88,-23.111111111111107
70.0,155.88,-22.666666666666657
70.0,155.88,-22.22222222222222
70.0,155.88,-21.77777777777778
70.0,155.88,-21.333333333333332
70.0,155.88,-20.888888888888886
70.0,155.88,-20.444444444444446
70.0,155.88,-20.000000000000004
70.0,155.88,-19.555555555555557
70.0,155.88,-19.111111111111114
70.0,155.88,-18.666666666666675
70.0,155.88,-18.222222222222232
70.0,155.88,-17.77777777777778
70.0,155.88,-17.333333333333336
70.0,155.88,-16.88888888888889
70.0,155.88,-16.444444444444446
70.0,155.88,-16.0
70.0,155.88,-15.555555555555557
70.0,155.88,-15.111111111111112
70.0,155.88,-14.666666666666668
70.0,155.88,-14.222222222222225
70.0,155.88,-13.77777777777778
70.0,155.88,-13.333333333333336
70.0,155.88,-12.888888888888891
70.0,155.88,-12.444444444444446
70.0,155.88,-12.000000000000004
70.0,155.88,-11.555555555555559
70.0,155.88,-11.111111111111114
70.0,155.88,-10.66666666666667
70.0,155.88,-10.222222222222225
70.0,155.88,-9.777777777777782
70.0,155.88,-9.333333333333337
70.0,155.88,-8.888888888888893
70.0,155.88,-8.444444444444448
70.0,155.88,-8.000000000000004
70.0,155.88,-7.55555555555556
70.0,155.88,-7.111111111111114
70.0,155.88,-6.66666666666667
70.0,155.88,-6.222222222222226
70.0,155.88,-5.777777777777781
70.0,155.88,-5.333333333333336
70.0,155.88,-4.888888888888891
70.0,155.88,-4.444444444444446
69.97749999999999,155.88,-4.018970000000002
69.92,155.88,-3.623004444444446
69.8425,155.88,-3.2439011111111125
69.75999999999999,155.88,-2.8690133333333345
69.6875,155.88,-2.4856944444444453
69.64,155.88,-2.081297777777779
69.63250000000001,155.88,-1.6431766666666667
69.68,155.88,-1.1586844444444446
69.7975,155.88,-0.6151744444444442
70.0,155.88,0.0
70.275,155.88,0.7342400000000001
70.6,155.88,1.6007644444444447
70.975,155.88,2.5609466666666667
71.4,155.88,3.5761600000000007
71.875,155.88,4.607777777777778
72.4,155.88,5.617173333333333
72.975,155.88,6.565720000000001
73.6,155.88,7.414791111111111
74.275,155.88,8.12576
75.0,155.88,8.66
75.82000000000001,155.88,9.0497
76.75999999999999,155.88,9.3528
77.78999999999999,155.88,9.5693
78.88000000000001,155.88,9.6992
80.0,155.88,9.7425
81.12,155.88,9.6992
82.21,155.88,9.569299999999998
83.24,155.88,9.352799999999998
84.18,155.88,9.049699999999998
85.0,155.88,8.66
85.725,155.88,8.125760000000001
86.4,155.88,7.4147911111111116
87.025,155.88,6.565720000000001
87.6,155.88,5.617173333333333
88.125,155.88,4.607777777777778
88.6,155.88,3.5761600000000007
89.025,155.88,2.5609466666666676
89.4,155.88,1.6007644444444438
89.725,155.88,0.7342399999999998
90.0,155.88,0.0
90.2025,155.88,-0.6151744444444447
90.32,155.88,-1.1586844444444446
90.36749999999999,155.88,-1.643176666666667
90.36,155.88,-2.0812977777777784
90.3125,155.88,-2.4856944444444453
90.24000000000001,155.88,-2.869013333333334
90.1575,155.88,-3.2439011111111125
90.08,155.88,-3.6230044444444465
90.02250000000001,155.88,-4.018970000000002
90.0,155.88,-4.444444444444446
90.0,155.88,-4.888888888888891
90.0,155.88,-5.333333333333336
90.0,155.88,-5.77777777777778
90.0,155.88,-6.222222222222225
90.0,155.88,-6.66666666666667
90.0,155.88,-7.111111111111115
90.0,155.88,-7.555555555555559
90.0,155.88,-8.000000000000004
90.0,155.88,-8.444444444444448
90.0,155.88,-8.888888888888893
90.0,155.88,-9.333333333333337
90.0,155.88,-9.777777777777782
90.0,155.88,-10.222222222222227
90.0,155.88,-10.66666666666667
90.0,155.88,-11.111111111111112
90.0,155.88,-11.555555555555557
90.0,155.88,-12.0
90.0,155.88,-12.444444444444443
90.0,155.88,-12.888888888888888
90.0,155.88,-13.333333333333336
90.0,155.88,-13.77777777777778
90.0,155.88,-14.222222222222225
90.0,155.88,-14.666666666666668
90.0,155.88,-15.111111111111112
90.0,155.88,-15.555555555555557
90.0,155.88,-16.0
90.0,155.88,-16.444444444444446
90.0,155.88,-16.88888888888889
90.0,155.88,-17.333333333333336
90.0,155.88,-17.77777777777778
90.0,155.88,-18.22222222222222
90.0,155.88,-18.666666666666668
90.0,155.88,-19.11111111111111
90.0,155.88,-19.555555555555557
90.0,155.88,-19.999999999999996
90.0,155.88,-20.44444444444444
90.0,155.88,-20.888888888888886
90.0,155.88,-21.33333333333333
90.0,155.88,-21.777777777777775
90.0,155.88,-22.22222222222222
90.0,155.88,-22.666666666666664
90.0,155.88,-23.11111111111111
90.0,155.88,-23.55555555555556
90.0,155.88,-24.000000000000004
90.0,155.88,-24.44444444444445
90.0,155.88,-24.888888888888896
90.0,155.88,-25.333333333333346
90.0,155.88,-25.77777777777779
90.0,155.88,-26.222222222222232
90.0,155.88,-26.66666666666667
90.0,155.88,-27.111111111111114
90.0,155.88,-27.55555555555556
90.0,155.88,-28.000000000000004
90.0,155.88,-28.444444444444446
90.0,155.88,-28.88888888888889
90.0,155.88,-29.333333333333336
90.0,155.88,-29.77777777777778
90.0,155.88,-30.22222222222222
90.0,155.88,-30.666666666666664
90.0,155.88,-31.11111111111111
90.0,155.88,-31.555555555555554
90.0,155.88,-32.0
90.0,155.88,-32.44444444444444
90.0,155.88,-32.888888888888886
90.0,155.88,-33.33333333333333
90.0,155.88,-33.777777777777786
90.0,155.88,-34.22222222222222
90.0,155.88,-34.666666666666664
90.0,155.88,-35.11111111111111
90.0,155.88,-35.55555555555556
90.0,155.88,-36.02
90.0,155.88,-36.51555555555555
90.0,155.88,-37.02888888888889
90.0,155.88,-37.54666666666667
90.0,155.88,-38.05555555555556
90.0,155.88,-38.54222222222222
90.0,155.88,-38.99333333333334
90.0,155.88,-39.39555555555556
90.0,155.88,-39.73555555555556
