x,y,z
60.0,138.56,-40.0
60.0,138.56,-39.73555555555556
60.0,138.56,-39.39555555555556
60.0,138.56,-38.99333333333334
59.99999999999999,138.56,-38.54222222222223
59.99999999999999,138.56,-38.05555555555556
59.99999999999999,138.56,-37.54666666666666
59.99999999999999,138.56,-37.028888888888886
59.999999999999986,138.56,-36.51555555555555
59.999999999999986,138.56,-36.019999999999996
59.99999999999999,138.56,-35.55555555555556
59.99999999999999,138.56,-35.111111111111114
59.99999999999999,138.56,-34.66666666666667
59.99999999999999,138.56,-34.22222222222222
59.99999999999999,138.56,-33.77777777777778
60.0,138.56,-33.33333333333333
60.0,138.56,-32.888888888888886
60.0,138.56,-32.444444444444436
60.0,138.56,-31.999999999999993
60.0,138.56,-31.55555555555555
60.0,138.56,-31.11111111111111
60.0,138.56,-30.666666666666668
60.0,138.56,-30.22222222222222
60.0,138.56,-29.77777777777778
60.00000000000001,138.56,-29.333333333333336
60.00000000000001,138.56,-28.888888888888893
60.000000000000014,138.56,-28.44444444444445
60.000000000000014,138.56,-28.000000000000004
60.00000000000002,138.56,-27.555555555555564
60.00000000000002,138.56,-27.111111111111118
60.00000000000001,138.56,-26.66666666666667
60.00000000000001,138.56,-26.22222222222223
60.00000000000001,138.56,-25.777777777777782
60.00000000000001,138.56,-25.333333333333336
60.0,138.56,-24.88888888888889
60.0,138.56,-24.444444444444443
60.0,138.56,-23.999999999999996
60.0,138.56,-23.555555555555554
60.0,138.56,-23.111111111111107
59.99999999999999,138.56,-22.666666666666657
60.0,138.56,-22.22222222222222
60.0,138.56,-21.77777777777778
60.0,138.56,-21.333333333333332
60.0,138.56,-20.888888888888886
60.0,138.56,-20.444444444444446
60.0,138.56,-20.000000000000004
60.0,138.56,-19.555555555555557
60.0,138.56,-19.111111111111114
60.0,138.56,-18.666666666666675
60.0,138.56,-18.222222222222232
60.0,138.56,-17.77777777777778
60.0,138.56,-17.333333333333336
60.0,138.56,-16.88888888888889
60.0,138.56,-16.444444444444446
60.0,138.56,-16.0
60.0,138.56,-15.555555555555557
60.0,138.56,-15.111111111111112
60.0,138.56,-14.666666666666668
60.0,138.56,-14.222222222222225
60.0,138.56,-13.77777777777778
60.0,138.56,-13.333333333333336
60.0,138.56,-12.888888888888891
60.0,138.56,-12.444444444444446
60.0,138.56,-12.000000000000004
60.0,138.56,-11.555555555555559
60.0,138.56,-11.111111111111114
60.0,138.56,-10.66666666666667
60.0,138.56,-10.222222222222225
60.0,138.56,-9.777777777777782
60.0,138.56,-9.333333333333337
60.0,138.56,-8.888888888888893
60.0,138.56,-8.444444444444448
60.0,138.56,-8.000000000000004
60.0,138.56,-7.55555555555556
60.0,138.56,-7.111111111111114
60.0,138.56,-6.66666666666667
60.0,138.56,-6.222222222222226
60.0,138.56,-5.777777777777781
60.0,138.56,-5.333333333333336
60.0,138.56,-4.888888888888891
60.0,138.56,-4.444444444444446
60.0,138.56,-3.9800000000000018
60.0,138.56,-3.484444444444446
60.0,138.56,-2.9711111111111124
60.0,138.56,-2.4533333333333345
60.0,138.56,-1.9444444444444453
60.0,138.56,-1.4577777777777783
60.0,138.56,-1.006666666666667
60.0,138.56,-0.6044444444444446
60.0,138.56,-0.2644444444444447
60.0,138.56,0.0
60.00110472855827,138.5817634234443,0.16405845130496433
60.00392792376273,138.63738106113533,0.22776338241765076
60.00773309990788,138.71234396411018,0.2150758258014166
60.0117837712882,138.79214318340598,0.14995681391961868
60.015343452198174,138.86226977005987,0.05636737923561469
60.01767565693229,138.90821477510897,-0.04173144578723853
60.01804389978505,138.9154692495904,-0.12037862868558391
60.01571169505093,138.8695242445413,-0.1556131369960645
60.00994255702442,138.7558708109988,-0.12347393825532205
60.0,138.56,0.0
59.98521046553965,138.26864254517943,0.21341720734189912
59.965963517465006,137.88947294933254,0.4911561665335597
59.94311735346003,137.43939791723793,0.8208328398251181
59.91753017120869,136.93532415367426,1.1900631894667104
59.89006016839495,136.39415836342002,1.586463177708473
59.861565542702785,135.8328072512539,1.9976487668005418
59.83290449181616,135.26817752195444,2.411235918993054
59.80493521341904,134.71717588030026,2.814840596536145
59.77851590519541,134.19670903106993,3.196078761679952
59.75450476482922,133.72368367904218,3.5425663766746096
59.731447034960944,133.26944074757088,3.875296005813855
59.70764453427411,132.80052564837865,4.2187728906311035
59.68359032451733,132.32665181879696,4.5658820092360095
59.659777467439206,131.85753269615716,4.909508339738233
59.63669902478834,131.40288171779076,5.242536860247426
59.61484805831333,130.97241232102914,5.557852548873246
59.59471762976277,130.57583794320377,5.848340383725349
59.57680080088526,130.222872021646,6.106885342913392
59.56159063342942,129.92322799368733,6.326372404547029
