x,y,z
140.0,69.28,-40.0
140.0,69.28,-39.73555555555556
140.0,69.28,-39.39555555555556
140.0,69.28,-38.99333333333334
140.0,69.28,-38.54222222222223
140.0,69.28,-38.05555555555556
140.0,69.28,-37.54666666666666
140.0,69.28,-37.028888888888886
140.0,69.28,-36.51555555555555
140.0,69.28,-36.019999999999996
140.0,69.28,-35.55555555555556
140.0,69.28,-35.111111111111114
140.0,69.28,-34.66666666666667
140.0,69.28,-34.22222222222222
140.0,69.28,-33.77777777777778
140.0,69.28,-33.33333333333333
140.0,69.28,-32.888888888888886
140.0,69.28,-32.444444444444436
140.0,69.28,-31.999999999999993
140.0,69.28,-31.55555555555555
140.0,69.28,-31.11111111111111
140.0,69.28,-30.666666666666668
140.0,69.28,-30.22222222222222
140.0,69.28,-29.77777777777778
140.0,69.28,-29.333333333333336
140.0,69.28,-28.888888888888893
140.0,69.28,-28.44444444444445
140.0,69.28,-28.000000000000004
140.0,69.28,-27.555555555555564
140.0,69.28,-27.111111111111118
140.0,69.28,-26.66666666666667
140.0,69.28,-26.22222222222223
140.0,69.28,-25.777777777777782
140.0,69.28,-25.333333333333336
140.0,69.28,-24.88888888888889
140.0,69.28,-24.444444444444443
140.0,69.28,-23.999999999999996
140.0,69.28,-23.555555555555554
140.0,69.28,-23.111111111111107
140.0,69.28,-22.666666666666657
140.0,69.28,-22.22222222222222
140.0,69.28,-21.77777777777778
140.0,69.28,-21.333333333333332
140.0,69.28,-20.888888888888886
140.0,69.28,-20.444444444444446
140.0,69.28,-20.000000000000004
140.0,69.28,-19.555555555555557
140.0,69.28,-19.111111111111114
140.0,69.28,-18.666666666666675
140.0,69.28,-18.222222222222232
140.0,69.28,-17.77777777777778
140.0,69.28,-17.333333333333336
140.0,69.28,-16.88888888888889
140.0,69.28,-16.444444444444446
140.0,69.28,-16.0
140.0,69.28,-15.555555555555557
140.0,69.28,-15.111111111111112
140.0,69.28,-14.666666666666668
140.0,69.28,-14.222222222222225
140.0,69.28,-13.77777777777778
140.0,69.28,-13.333333333333336
140.0,69.28,-12.888888888888891
140.0,69.28,-12.444444444444446
140.0,69.28,-12.000000000000004
140.0,69.28,-11.555555555555559
140.0,69.28,-11.111111111111114
140.0,69.28,-10.66666666666667
140.0,69.28,-10.222222222222225
140.0,69.28,-9.777777777777782
140.0,69.28,-9.333333333333337
140.0,69.28,-8.888888888888893
140.0,69.28,-8.444444444444448
140.0,69.28,-8.000000000000004
140.0,69.28,-7.55555555555556
140.0,69.28,-7.111111111111114
140.0,69.28,-6.66666666666667
140.0,69.28,-6.222222222222226
140.0,69.28,-5.777777777777781
140.0,69.28,-5.333333333333336
140.0,69.28,-4.888888888888891
140.0,69.28,-4.444444444444446
140.0225,69.28,-4.018970000000002
140.07999999999998,69.28,-3.623004444444446
140.1575,69.28,-3.2439011111111125
140.24,69.28,-2.8690133333333345
140.3125,69.28,-2.4856944444444453
140.36,69.28,-2.081297777777779
140.3675,69.28,-1.6431766666666667
140.32,69.28,-1.1586844444444446
140.20250000000001,69.28,-0.6151744444444442
140.0,69.28,0.0
139.725,69.28,0.7342400000000001
139.4,69.28,1.6007644444444447
139.025,69.28,2.5609466666666667
138.6,69.28,3.5761600000000007
138.125,69.28,4.607777777777778
137.6,69.28,5.617173333333333
137.025,69.28,6.565720000000001
136.4,69.28,7.414791111111111
135.725,69.28,8.12576
135.0,69.28,8.66
134.18,69.28,9.0497
133.23999999999998,69.28,9.3528
132.20999999999998,69.28,9.5693
131.12,69.28,9.6992
130.0,69.28,9.7425
128.88,69.28,9.6992
127.79,69.28,9.569299999999998
126.76,69.28,9.352799999999998
125.82,69.28,9.049699999999998
125.0,69.28,8.66
124.275,69.28,8.125760000000001
123.6,69.28,7.4147911111111116
122.975,69.28,6.565720000000001
122.4,69.28,5.617173333333333
121.875,69.28,4.607777777777778
121.4,69.28,3.5761600000000007
120.975,69.28,2.5609466666666676
120.6,69.28,1.6007644444444438
120.275,69.28,0.7342399999999998
120.0,69.28,0.0
119.7975,69.28,-0.6151744444444447
119.68,69.28,-1.1586844444444446
119.63250000000001,69.28,-1.643176666666667
119.64,69.28,-2.0812977777777784
119.6875,69.28,-2.4856944444444453
119.75999999999999,69.28,-2.869013333333334
119.8425,69.28,-3.2439011111111125
119.92,69.28,-3.6230044444444465
119.97749999999999,69.28,-4.018970000000002
120.0,69.28,-4.444444444444446
120.0,69.28,-4.888888888888891
120.0,69.28,-5.333333333333336
120.0,69.28,-5.77777777777778
120.0,69.28,-6.222222222222225
120.0,69.28,-6.66666666666667
120.0,69.28,-7.111111111111115
120.0,69.28,-7.555555555555559
120.0,69.28,-8.000000000000004
120.0,69.28,-8.444444444444448
120.0,69.28,-8.888888888888893
120.0,69.28,-9.333333333333337
120.0,69.28,-9.777777777777782
120.0,69.28,-10.222222222222227
120.0,69.28,-10.66666666666667
120.0,69.28,-11.111111111111112
120.0,69.28,-11.555555555555557
120.0,69.28,-12.0
120.0,69.28,-12.444444444444443
120.0,69.28,-12.888888888888888
120.0,69.28,-13.333333333333336
120.0,69.28,-13.77777777777778
120.0,69.28,-14.222222222222225
120.0,69.28,-14.666666666666668
120.0,69.28,-15.111111111111112
120.0,69.28,-15.555555555555557
120.0,69.28,-16.0
120.0,69.28,-16.444444444444446
120.0,69.28,-16.88888888888889
120.0,69.28,-17.333333333333336
120.0,69.28,-17.77777777777778
120.0,69.28,-18.22222222222222
120.0,69.28,-18.666666666666668
120.0,69.28,-19.11111111111111
120.0,69.28,-19.555555555555557
120.0,69.28,-19.999999999999996
120.0,69.28,-20.44444444444444
120.0,69.28,-20.888888888888886
120.0,69.28,-21.33333333333333
120.0,69.28,-21.777777777777775
120.0,69.28,-22.22222222222222
120.0,69.28,-22.666666666666664
120.0,69.28,-23.11111111111111
120.0,69.28,-23.55555555555556
120.00000000000001,69.28,-24.000000000000004
120.00000000000001,69.28,-24.44444444444445
120.00000000000001,69.28,-24.888888888888896
120.00000000000001,69.28,-25.333333333333346
120.00000000000003,69.28,-25.77777777777779
120.00000000000003,69.28,-26.222222222222232
120.00000000000001,69.28,-26.66666666666667
120.00000000000001,69.28,-27.111111111111114
120.00000000000001,69.28,-27.55555555555556
120.00000000000001,69.28,-28.000000000000004
120.00000000000001,69.28,-28.444444444444446
120.0,69.28,-28.88888888888889
120.0,69.28,-29.333333333333336
120.0,69.28,-29.77777777777778
120.0,69.28,-30.22222222222222
120.0,69.28,-30.666666666666664
120.0,69.28,-31.11111111111111
120.0,69.28,-31.555555555555554
120.0,69.28,-32.0
120.0,69.28,-32.44444444444444
119.99999999999999,69.28,-32.888888888888886
119.99999999999999,69.28,-33.33333333333333
119.99999999999997,69.28,-33.777777777777786
119.99999999999997,69.28,-34.22222222222222
119.99999999999996,69.28,-34.666666666666664
119.99999999999996,69.28,-35.11111111111111
119.99999999999999,69.28,-35.55555555555556
119.99999999999999,69.28,-36.02
119.99999999999999,69.28,-36.51555555555555
119.99999999999999,69.28,-37.02888888888889
120.0,69.28,-37.54666666666667
120.0,69.28,-38.05555555555556
120.0,69.28,-38.54222222222222
120.0,69.28,-38.99333333333334
120.0,69.28,-39.39555555555556
120.00000000000001,69.28,-39.73555555555556
