x,y,z
900.0,129.9,-129.9
899.849475375,129.9001297701,-129.9
899.697903,129.9005185608,-129.9
899.545285125,129.9011655927,-129.9
899.391624,129.90207008640002,-129.9
899.236921875,129.9032312625,-129.9
899.081181,129.90464834160002,-129.9
898.924403625,129.9063205443,-129.9
898.7665920000001,129.9082470912,-129.9
898.6077483749999,129.9104272029,-129.9
898.447875,129.9128601,-129.9
898.286974125,129.9155450031,-129.9
898.125048,129.91848113280003,-129.9
897.962098875,129.9216677097,-129.9
897.798129,129.92510395440002,-129.9
897.633140625,129.92878908749998,-129.9
897.467136,129.9327223296,-129.9
897.300117375,129.93690290130002,-129.9
897.1320870000001,129.9413300232,-129.9
896.963047125,129.9460029159,-129.9
896.793,129.9509208,-129.9
896.6219478749999,129.9560828961,-129.9
896.449893,129.9614884248,-129.9
896.276837625,129.96713660670002,-129.9
896.1027839999999,129.9730266624,-129.9
895.927734375,129.9791578125,-129.9
895.751691,129.98552927760002,-129.9
895.574656125,129.9921402783,-129.9
895.396632,129.99899003520002,-129.9
895.217620875,130.0060777689,-129.9
895.037625,130.0134027,-129.9
894.856646625,130.0209640491,-129.9
894.6746880000001,130.0287610368,-129.9
894.4917513750001,130.0367928837,-129.9
894.3078390000001,130.0450588104,-129.9
894.122953125,130.0535580375,-129.9
893.937096,130.06228978560003,-129.9
893.7502698750001,130.0712532753,-129.9
893.5624770000001,130.0804477272,-129.9
893.373719625,130.0898723619,-129.9
893.1840000000001,130.0995264,-129.9
892.9933203749999,130.1094090621,-129.9
892.801683,130.1195195688,-129.9
892.6090901250001,130.1298571407,-129.9
892.4155440000001,130.1404209984,-129.9
892.221046875,130.1512103625,-129.9
892.0256009999999,130.1622244536,-129.9
891.8292086250001,130.1734624923,-129.9
891.631872,130.1849236992,-129.9
891.433593375,130.1966072949,-129.9
891.234375,130.20851249999998,-129.9
891.0342191250002,130.22063853510002,-129.9
890.833128,130.2329846208,-129.9
890.631103875,130.24554997770002,-129.9
890.4281490000001,130.2583338264,-129.9
890.224265625,130.2713353875,-129.9
890.019456,130.2845538816,-129.9
889.813722375,130.2979885293,-129.9
889.6070670000001,130.3116385512,-129.9
889.3994921249999,130.3255031679,-129.9
889.191,130.3395816,-129.9
888.981592875,130.35387306810003,-129.9
888.7712730000001,130.3683767928,-129.9
888.560042625,130.3830919947,-129.9
888.347904,130.3980178944,-129.9
888.1348593750001,130.41315371250002,-129.9
887.9209109999999,130.4284986696,-129.9
887.706061125,130.4440519863,-129.9
887.4903120000001,130.4598128832,-129.9
887.273665875,130.47578058090002,-129.9
887.0561250000001,130.4919543,-129.9
886.8376916249999,130.5083332611,-129.9
886.6183679999999,130.5249166848,-129.9
886.398156375,130.5417037917,-129.9
886.1770590000001,130.5586938024,-129.9
885.955078125,130.5758859375,-129.9
885.732216,130.5932794176,-129.9
885.508474875,130.6108734633,-129.9
885.283857,130.62866729520002,-129.9
885.058364625,130.6466601339,-129.9
884.832,130.66485120000002,-129.9
884.604765375,130.6832397141,-129.9
884.376663,130.7018248968,-129.9
884.147695125,130.7206059687,-129.9
883.917864,130.7395821504,-129.9
883.687171875,130.75875266249997,-129.9
883.455621,130.7781167256,-129.9
883.223213625,130.7976735603,-129.9
882.989952,130.8174223872,-129.9
882.755838375,130.8373624269,-129.9
882.520875,130.8574929,-129.9
882.285064125,130.8778130271,-129.9
882.048408,130.8983220288,-129.9
881.810908875,130.9190191257,-129.9
881.572569,130.93990353840002,-129.9
881.333390625,130.9609744875,-129.9
881.093376,130.9822311936,-129.9
880.852527375,131.0036728773,-129.9
880.610847,131.0252987592,-129.9
880.3683371249999,131.0471080599,-129.9
880.125,131.0691,-129.9
879.880837875,131.0912738001,-129.9
879.635853,131.11362868080002,-129.9
879.390047625,131.1361638627,-129.9
879.143424,131.1588785664,-129.9
878.895984375,131.1817720125,-129.9
878.647731,131.20484342160003,-129.9
878.3986661250001,131.2280920143,-129.9
878.148792,131.2515170112,-129.9
